"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
0.49000001,0,0.0049999999,0,0,0,0.49000001,1.48331,3.5113451e-05,5010.71,0.79219049,-0.4471615,-0.000228583,0,72.201851
0.49200001,0,0.0049999999,0,0,0,0.49200001,1.48207,3.5097451e-05,5008.6201,0.78816998,-0.44677001,-0.00022719501,0,72.1717
0.49399999,0,0.0049999999,0,0,0,0.49399999,1.48084,3.5081597e-05,5006.5449,0.784159,-0.44638199,-0.000225446,0,72.141701
0.49599999,0,0.0049999999,0,0,0,0.49599999,1.47962,3.5065852e-05,5004.48,0.78015798,-0.445997,-0.00022371201,0,72.111954
0.498,0,0.0049999999,0,0,0,0.498,1.478405,3.505015e-05,5002.4248,0.77616596,-0.44561499,-0.0002223685,0,72.082352
0.5,0,0.0049999999,0,0,0,0.5,1.4772,3.5034551e-05,5000.3799,0.77218354,-0.445234,-0.000221414,0,72.052994
0.50199997,0,0.0049999999,0,0,0,0.50199997,1.4760001,3.5019097e-05,4998.3496,0.76821053,-0.4448545,-0.00021972301,0,72.02375
0.50400001,0,0.0049999999,0,0,0,0.50400001,1.47481,3.5003701e-05,4996.335,0.76424646,-0.4444795,-0.0002176705,0,71.994705
0.50599998,0,0.0049999999,0,0,0,0.50599998,1.47363,3.4988399e-05,4994.335,0.76029146,-0.44410801,-0.00021638151,0,71.965897
0.50800002,0,0.0049999999,0,0,0,0.50800002,1.472455,3.49732e-05,4992.3447,0.75634551,-0.44373798,-0.00021548,0,71.937195
0.50999999,0,0.0049999999,0,0,0,0.50999999,1.471285,3.4958102e-05,4990.3652,0.75240898,-0.443369,-0.0002142165,0,71.9086
0.51200002,0,0.0049999999,0,0,0,0.51200002,1.470125,3.4943099e-05,4988.3999,0.74848151,-0.443003,-0.000212591,0,71.880249
0.514,0,0.0049999999,0,0,0,0.514,1.4689751,3.4928151e-05,4986.4453,0.74456298,-0.4426395,-0.000211352,0,71.85215
0.51599997,0,0.0049999999,0,0,0,0.51599997,1.4678299,3.4913301e-05,4984.5,0.74065351,-0.44227749,-0.000210125,0,71.82415
0.51800001,0,0.0049999999,0,0,0,0.51800001,1.4666901,3.4898549e-05,4982.5649,0.73675251,-0.441919,-0.00020853549,0,71.796249
0.51999998,0,0.0049999999,0,0,0,0.51999998,1.46556,3.4883902e-05,4980.645,0.73286045,-0.44156301,-0.0002073315,0,71.768555
0.52200001,0,0.0049999999,0,0,0,0.52200001,1.46444,3.4869299e-05,4978.7349,0.7289775,-0.441208,-0.0002061385,0,71.741104
0.52399999,0,0.0049999999,0,0,0,0.52399999,1.46332,3.4854798e-05,4976.835,0.72510302,-0.44085652,-0.00020495651,0,71.713699
0.52600002,0,0.0049999999,0,0,0,0.52600002,1.4622099,3.4840399e-05,4974.9502,0.721237,-0.4405055,-0.00020415851,0,71.686493
0.528,0,0.0049999999,0,0,0,0.528,1.46111,3.4826051e-05,4973.0752,0.71737951,-0.44015551,-0.00020262299,0,71.6595
0.52999997,0,0.0049999999,0,0,0,0.52999997,1.4600101,3.4811797e-05,4971.21,0.71353102,-0.43981051,-0.00020072449,0,71.632507
0.53200001,0,0.0049999999,0,0,0,0.53200001,1.45892,3.4797649e-05,4969.355,0.70969099,-0.4394685,-0.0001995835,0,71.605751
0.53399998,0,0.0049999999,0,0,0,0.53399998,1.45784,3.4783552e-05,4967.5098,0.70585948,-0.4391275,-0.000198825,0,71.579254
0.53600001,0,0.0049999999,0,0,0,0.53600001,1.4567599,3.4769502e-05,4965.6748,0.7020365,-0.43878698,-0.0001980755,0,71.55275
0.53799999,0,0.0049999999,0,0,0,0.53799999,1.45569,3.4755547e-05,4963.8496,0.6982215,-0.43844801,-0.00019696201,0,71.526497
0.54000002,0,0.0049999999,0,0,0,0.54000002,1.45463,3.4741701e-05,4962.0352,0.69441497,-0.43811202,-0.00019548449,0,71.500443
0.542,0,0.0049999999,0,0,0,0.542,1.45357,3.4727898e-05,4960.23,0.69061697,-0.4377785,-0.0001943885,0,71.47435
0.54400003,0,0.0049999999,0,0,0,0.54400003,1.452515,3.471415e-05,4958.4351,0.68682748,-0.43744549,-0.0001933015,0,71.448402
0.546,0,0.0049999999,0,0,0,0.546,1.45147,3.4700501e-05,4956.645,0.68304598,-0.43711549,-0.00019185001,0,71.422699
0.54799998,0,0.0049999999,0,0,0,0.54799998,1.45043,3.4686949e-05,4954.8652,0.67927253,-0.43678898,-0.000190779,0,71.397095
0.55000001,0,0.0049999999,0,0,0,0.55000001,1.4493949,3.4673452e-05,4953.1001,0.67550755,-0.436463,-0.00019008899,0,71.371651
0.55199999,0,0.0049999999,0,0,0,0.55199999,1.448365,3.4659999e-05,4951.3452,0.67175055,-0.4361375,-0.0001890345,0,71.346298
0.55400002,0,0.0049999999,0,0,0,0.55400002,1.44734,3.4646651e-05,4949.5952,0.66800153,-0.43581551,-0.00018761499,0,71.321053
0.55599999,0,0.0049999999,0,0,0,0.55599999,1.4463251,3.4633351e-05,4947.8555,0.66426051,-0.435496,-0.0001865745,0,71.296051
0.55800003,0,0.0049999999,0,0,0,0.55800003,1.445315,3.4620098e-05,4946.125,0.66052747,-0.435177,-0.000185914,0,71.271149
0.56,0,0.0049999999,0,0,0,0.56,1.4443099,3.460695e-05,4944.4048,0.65680248,-0.43485951,-0.00018488901,0,71.246353
0.56199998,0,0.0049999999,0,0,0,0.56199998,1.44331,3.4593901e-05,4942.6948,0.65308547,-0.43454498,-0.0001834985,0,71.221649
0.56400001,0,0.0049999999,0,0,0,0.56400001,1.4423151,3.4580902e-05,4940.9902,0.64937651,-0.43423301,-0.000182487,0,71.197098
0.56599998,0,0.0049999999,0,0,0,0.56599998,1.4413249,3.45679e-05,4939.2949,0.64567554,-0.43392098,-0.00018185349,0,71.172699
0.56800002,0,0.0049999999,0,0,0,0.56800002,1.44034,3.4555e-05,4937.605,0.6419825,-0.43360999,-0.000180855,0,71.148399
0.56999999,0,0.0049999999,0,0,0,0.56999999,1.4393599,3.4542201e-05,4935.9248,0.63829696,-0.43330199,-0.00017986351,0,71.124146
0.57200003,0,0.0049999999,0,0,0,0.57200003,1.438385,3.4529399e-05,4934.2549,0.634619,-0.43299448,-0.00017924901,0,71.100052
0.574,0,0.0049999999,0,0,0,0.574,1.4374199,3.4516699e-05,4932.5947,0.63094902,-0.432688,-0.00017826949,0,71.076202
0.57599998,0,0.0049999999,0,0,0,0.57599998,1.436455,3.4504053e-05,4930.9453,0.62728649,-0.43238401,-0.00017692501,0,71.052299
0.57800001,0,0.0049999999,0,0,0,0.57800001,1.4354949,3.4491452e-05,4929.2949,0.62363195,-0.43208301,-0.00017558649,0,71.028549
