"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.77600002,0,0.0049999999,0,0,0,0.77600002,6.5644199e-05,-0.00013037701,-2.171695e-08,0
0.778,0,0.0049999999,0,0,0,0.778,6.471925e-05,-0.000130203,-2.16275e-08,0
0.77999997,0,0.0049999999,0,0,0,0.77999997,6.3799147e-05,-0.0001300295,-2.1538199e-08,0
0.78200001,0,0.0049999999,0,0,0,0.78200001,6.2883904e-05,-0.00012985649,-2.1449001e-08,0
0.78399998,0,0.0049999999,0,0,0,0.78399998,6.19735e-05,-0.00012968399,-2.13516e-08,0
0.78600001,0,0.0049999999,0,0,0,0.78600001,6.1067949e-05,-0.00012951251,-2.12627e-08,0
0.78799999,0,0.0049999999,0,0,0,0.78799999,6.0167302e-05,-0.00012934199,-2.1182299e-08,0
0.79000002,0,0.0049999999,0,0,0,0.79000002,5.9271501e-05,-0.000129172,-2.1093751e-08,0
0.792,0,0.0049999999,0,0,0,0.792,5.83806e-05,-0.00012900299,-2.0997049e-08,0
0.79400003,0,0.0049999999,0,0,0,0.79400003,5.7494599e-05,-0.000128835,-2.09089e-08,0
0.796,0,0.0049999999,0,0,0,0.796,5.6613448e-05,-0.00012866699,-2.0821e-08,0
0.79799998,0,0.0049999999,0,0,0,0.79799998,5.5737248e-05,-0.00012849999,-2.0733349e-08,0
0.80000001,0,0.0049999999,0,0,0,0.80000001,5.4865999e-05,-0.00012833401,-2.065425e-08,0
0.80199999,0,0.0049999999,0,0,0,0.80199999,5.3999647e-05,-0.000128168,-2.0567001e-08,0
0.80400002,0,0.0049999999,0,0,0,0.80400002,5.313825e-05,-0.000128003,-2.048e-08,0
0.80599999,0,0.0049999999,0,0,0,0.80599999,5.2281852e-05,-0.000127839,-2.040165e-08,0
0.80800003,0,0.0049999999,0,0,0,0.80800003,5.1430448e-05,-0.00012767551,-2.0315099e-08,0
0.81,0,0.0049999999,0,0,0,0.81,5.0584051e-05,-0.0001275125,-2.02288e-08,0
0.81199998,0,0.0049999999,0,0,0,0.81199998,4.9742652e-05,-0.00012735001,-2.014275e-08,0
0.81400001,0,0.0049999999,0,0,0,0.81400001,4.8906302e-05,-0.0001271885,-2.00569e-08,0
0.81599998,0,0.0049999999,0,0,0,0.81599998,4.807505e-05,-0.000127028,-1.9979499e-08,0
