"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.93400002,0,0.0049999999,0,0,0,0.93400002,1e-15,0,158024,0.024780899,-0.178863,-3.1155851e-06,0
0.93599999,0,0.0049999999,0,0,0,0.93599999,1e-15,0,158024,0.02384655,-0.178791,-3.10319e-06,0
0.93800002,0,0.0049999999,0,0,0,0.93800002,1e-15,0,158024,0.022916399,-0.17871851,-3.09289e-06,0
0.94,0,0.0049999999,0,0,0,0.94,1e-15,0,158024,0.02199075,-0.178646,-3.0639151e-06,0
0.94199997,0,0.0049999999,0,0,0,0.94199997,1e-15,0,158024,0.02106625,-0.17857501,-3.04074e-06,0
0.94400001,0,0.0049999999,0,0,0,0.94400001,1e-15,0,158024,0.02014165,-0.17850401,-3.0395749e-06,0
0.94599998,0,0.0049999999,0,0,0,0.94599998,1e-15,0,158024,0.01921805,-0.17843249,-3.030985e-06,0
0.94800001,0,0.0049999999,0,0,0,0.94800001,1e-15,0,158024,0.018294651,-0.178362,-3.01356e-06,0
0.94999999,0,0.0049999999,0,0,0,0.94999999,1e-15,0,158024,0.017369751,-0.1782915,-3.0077149e-06,0
0.95200002,0,0.0049999999,0,0,0,0.95200002,1e-15,0,158024,0.0164438,-0.178221,-3.0024651e-06,0
0.954,0,0.0049999999,0,0,0,0.954,1e-15,0,158024,0.01551955,-0.178151,-2.9937951e-06,0
0.95599997,0,0.0049999999,0,0,0,0.95599997,1e-15,0,158024,0.01459715,-0.1780805,-2.9837349e-06,0
0.958,0,0.0049999999,0,0,0,0.958,1e-15,0,158024,0.01367445,-0.178011,-2.9773851e-06,0
0.95999998,0,0.0049999999,0,0,0,0.95999998,1e-15,0,158024,0.0127514,-0.1779415,-2.975205e-06,0
0.96200001,0,0.0049999999,0,0,0,0.96200001,1e-15,0,158024,0.011829751,-0.1778715,-2.9622752e-06,0
0.96399999,0,0.0049999999,0,0,0,0.96399999,1e-15,0,158024,0.0109101,-0.17780301,-2.9544249e-06,0
0.96600002,0,0.0049999999,0,0,0,0.96600002,1e-15,0,158024,0.0099911401,-0.17773449,-2.9527e-06,0
0.96799999,0,0.0049999999,0,0,0,0.96799999,1e-15,0,158024,0.0090742856,-0.1776655,-2.9441001e-06,0
0.97000003,0,0.0049999999,0,0,0,0.97000003,1e-15,0,158024,0.0081608053,-0.17759651,-2.9328548e-06,0
0.972,0,0.0049999999,0,0,0,0.972,1e-15,0,158024,0.0072506797,-0.1775275,-2.925995e-06,0
0.97399998,0,0.0049999999,0,0,0,0.97399998,1e-15,0,158024,0.0063432697,-0.17745849,-2.9150251e-06,0
0.97600001,0,0.0049999999,0,0,0,0.97600001,1e-15,0,158024,0.00543859,-0.1773905,-2.90356e-06,0
0.97799999,0,0.0049999999,0,0,0,0.97799999,1e-15,0,158024,0.0045386851,-0.17732251,-2.91182e-06,0
0.98000002,0,0.0049999999,0,0,0,0.98000002,1e-15,0,158024,0.00364499,-0.1772535,-2.9206599e-06,0
0.98199999,0,0.0049999999,0,0,0,0.98199999,1e-15,0,158024,0.0027590899,-0.17718551,-2.9354951e-06,0
0.98400003,0,0.0049999999,0,0,0,0.98400003,1e-15,0,158024,0.001885965,-0.1771165,-2.9790949e-06,0
0.986,0,0.0049999999,0,0,0,0.986,1e-15,0,158024,0.001033197,-0.177046,-3.0260999e-06,0
0.98799998,0,0.0049999999,0,0,0,0.98799998,1e-15,0,158024,0.00021154748,-0.176976,-3.100045e-06,0
0.99000001,0,0.0049999999,0,0,0,0.99000001,1e-15,0,158024,-0.000567907,-0.1769035,-3.2599451e-06,0
0.99199998,0,0.0049999999,0,0,0,0.99199998,1e-15,0,158024,-0.0012667025,-0.176828,-3.4834352e-06,0
0.99400002,0,0.0049999999,0,0,0,0.99400002,1e-15,0,158024,-0.0019091051,-0.176743,-4.0649802e-06,0
0.99599999,0,0.0049999999,0,0,0,0.99599999,1e-15,0,158024,-0.0021509551,-0.176668,-4.35929e-06,0
0.99800003,0,0.0049999999,0,0,0,0.99800003,1e-15,0,158024,-0.0030539702,-0.17649549,-1.208605e-05,0
1,0,0.0049999999,0,0,0,1,1e-15,0,158024,-0.0040362901,-0.176351,-1.99856e-05,0
